Latitude,Longitude,UTC,Parameter,Unit,Value,RawConcentration,AQI,Category,SiteName,AgencyName,FullAQSCode,IntlAQSCode
40.366452,-80.615691,2026-01-28T23:00,PM2.5,UG/M3,9.8,9.7,52,2,Steubenville,Ohio EPA-DAPC,390810017,840390810017
40.39458,-80.61202,2026-01-28T23:00,PM2.5,UG/M3,8.8,8.5,49,1,"MARLAND HTS, WEIRTON",West Virginia Division of Air Quality,840540090011,840540090011
40.42735,-80.59253,2026-01-28T23:00,PM2.5,UG/M3,10.5,12.0,54,2,WEIRTON,West Virginia Division of Air Quality,540290009,840540290009
40.4447,-80.42,2026-01-28T23:00,PM2.5,UG/M3,8.3,7.5,46,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.4447,-80.42,2026-01-28T23:00,OZONE,PPB,36.0,36.0,33,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.269,-80.244,2026-01-28T23:00,PM2.5,UG/M3,9.8,9.2,52,2,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.269,-80.244,2026-01-28T23:00,OZONE,PPB,37.0,37.0,34,1,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.381901,-80.1856,2026-01-28T23:00,PM2.5,UG/M3,9.3,8.6,51,2,South Fayette,Allegheny County,420030067,840420030067
40.381901,-80.1856,2026-01-28T23:00,OZONE,PPB,41.0,41.0,38,1,South Fayette,Allegheny County,420030067,840420030067
40.499789,-80.071347,2026-01-28T23:00,PM2.5,UG/M3,10.7,9.9,54,2,Avalon,Allegheny County,840420030002,840420030002
40.4656,-79.9611,2026-01-28T23:00,PM2.5,UG/M3,10.7,9.9,54,2,Lawrenceville,Allegheny County,420030008,840420030008
40.4656,-79.9611,2026-01-28T23:00,OZONE,PPB,26.0,24.0,24,1,Lawrenceville,Allegheny County,420030008,840420030008
40.294381,-79.885303,2026-01-28T23:00,PM2.5,UG/M3,9.5,9.6,52,2,Clairton,Allegheny County,840420033007,840420033007
40.323898,-79.868301,2026-01-28T23:00,PM2.5,UG/M3,10.1,9.6,53,2,Liberty (SAHS),Allegheny County,420030064,840420030064
40.437431,-79.863572,2026-01-28T23:00,PM2.5,UG/M3,11.7,11.0,56,2,Parkway East (Near Road),Allegheny County,420031376,840420031376
40.402267,-79.860942,2026-01-28T23:00,PM2.5,UG/M3,9.7,9.2,52,2,North Braddock,Allegheny County,840420031301,840420031301
40.613864,-79.729569,2026-01-28T23:00,PM2.5,UG/M3,11.1,10.8,55,2,Harrison Township,Allegheny County,420031008,840420031008
40.613864,-79.729569,2026-01-28T23:00,OZONE,PPB,33.0,32.0,31,1,Harrison Township,Allegheny County,420031008,840420031008
40.366452,-80.615691,2026-01-29T00:00,PM2.5,UG/M3,10.5,11.2,54,2,Steubenville,Ohio EPA-DAPC,390810017,840390810017
40.39458,-80.61202,2026-01-29T00:00,PM2.5,UG/M3,9.5,10.2,52,2,"MARLAND HTS, WEIRTON",West Virginia Division of Air Quality,840540090011,840540090011
40.42735,-80.59253,2026-01-29T00:00,PM2.5,UG/M3,10.4,10.4,53,2,WEIRTON,West Virginia Division of Air Quality,540290009,840540290009
40.4447,-80.42,2026-01-29T00:00,PM2.5,UG/M3,8.5,8.7,47,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.4447,-80.42,2026-01-29T00:00,OZONE,PPB,33.0,33.0,31,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.269,-80.244,2026-01-29T00:00,PM2.5,UG/M3,9.1,8.5,51,2,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.269,-80.244,2026-01-29T00:00,OZONE,PPB,36.0,37.0,33,1,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.381901,-80.1856,2026-01-29T00:00,PM2.5,UG/M3,8.2,7.3,46,1,South Fayette,Allegheny County,420030067,840420030067
40.381901,-80.1856,2026-01-29T00:00,OZONE,PPB,42.0,42.0,39,1,South Fayette,Allegheny County,420030067,840420030067
40.499789,-80.071347,2026-01-29T00:00,PM2.5,UG/M3,9.8,9.0,52,2,Avalon,Allegheny County,840420030002,840420030002
40.4656,-79.9611,2026-01-29T00:00,PM2.5,UG/M3,9.8,8.9,52,2,Lawrenceville,Allegheny County,420030008,840420030008
40.4656,-79.9611,2026-01-29T00:00,OZONE,PPB,26.0,25.0,24,1,Lawrenceville,Allegheny County,420030008,840420030008
40.294381,-79.885303,2026-01-29T00:00,PM2.5,UG/M3,9.7,10.0,52,2,Clairton,Allegheny County,840420033007,840420033007
40.323898,-79.868301,2026-01-29T00:00,PM2.5,UG/M3,10.2,10.3,53,2,Liberty (SAHS),Allegheny County,420030064,840420030064
40.437431,-79.863572,2026-01-29T00:00,PM2.5,UG/M3,11.0,10.1,55,2,Parkway East (Near Road),Allegheny County,420031376,840420031376
40.402267,-79.860942,2026-01-29T00:00,PM2.5,UG/M3,9.4,9.2,52,2,North Braddock,Allegheny County,840420031301,840420031301
40.613864,-79.729569,2026-01-29T00:00,PM2.5,UG/M3,11.0,10.8,55,2,Harrison Township,Allegheny County,420031008,840420031008
40.613864,-79.729569,2026-01-29T00:00,OZONE,PPB,32.0,30.0,30,1,Harrison Township,Allegheny County,420031008,840420031008
40.366452,-80.615691,2026-01-29T01:00,PM2.5,UG/M3,11.2,11.9,55,2,Steubenville,Ohio EPA-DAPC,390810017,840390810017
40.39458,-80.61202,2026-01-29T01:00,PM2.5,UG/M3,9.9,10.4,52,2,"MARLAND HTS, WEIRTON",West Virginia Division of Air Quality,840540090011,840540090011
40.42735,-80.59253,2026-01-29T01:00,PM2.5,UG/M3,10.6,10.8,54,2,WEIRTON,West Virginia Division of Air Quality,540290009,840540290009
40.4447,-80.42,2026-01-29T01:00,PM2.5,UG/M3,9.4,10.5,52,2,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.4447,-80.42,2026-01-29T01:00,OZONE,PPB,32.0,31.0,30,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.269,-80.244,2026-01-29T01:00,PM2.5,UG/M3,9.2,9.4,51,2,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.269,-80.244,2026-01-29T01:00,OZONE,PPB,36.0,36.0,33,1,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.381901,-80.1856,2026-01-29T01:00,PM2.5,UG/M3,8.6,9.0,48,1,South Fayette,Allegheny County,420030067,840420030067
40.381901,-80.1856,2026-01-29T01:00,OZONE,PPB,40.0,39.0,37,1,South Fayette,Allegheny County,420030067,840420030067
40.499789,-80.071347,2026-01-29T01:00,PM2.5,UG/M3,10.2,10.6,53,2,Avalon,Allegheny County,840420030002,840420030002
40.4656,-79.9611,2026-01-29T01:00,PM2.5,UG/M3,9.5,9.1,52,2,Lawrenceville,Allegheny County,420030008,840420030008
40.4656,-79.9611,2026-01-29T01:00,OZONE,PPB,26.0,28.0,24,1,Lawrenceville,Allegheny County,420030008,840420030008
40.294381,-79.885303,2026-01-29T01:00,PM2.5,UG/M3,8.7,7.5,48,1,Clairton,Allegheny County,840420033007,840420033007
40.323898,-79.868301,2026-01-29T01:00,PM2.5,UG/M3,9.5,8.8,52,2,Liberty (SAHS),Allegheny County,420030064,840420030064
40.437431,-79.863572,2026-01-29T01:00,PM2.5,UG/M3,10.2,9.3,53,2,Parkway East (Near Road),Allegheny County,420031376,840420031376
40.402267,-79.860942,2026-01-29T01:00,PM2.5,UG/M3,8.8,8.2,49,1,North Braddock,Allegheny County,840420031301,840420031301
40.613864,-79.729569,2026-01-29T01:00,PM2.5,UG/M3,10.9,10.8,54,2,Harrison Township,Allegheny County,420031008,840420031008
40.613864,-79.729569,2026-01-29T01:00,OZONE,PPB,32.0,30.0,30,1,Harrison Township,Allegheny County,420031008,840420031008
40.366452,-80.615691,2026-01-29T02:00,PM2.5,UG/M3,11.7,12.3,56,2,Steubenville,Ohio EPA-DAPC,390810017,840390810017
40.39458,-80.61202,2026-01-29T02:00,PM2.5,UG/M3,9.4,8.9,52,2,"MARLAND HTS, WEIRTON",West Virginia Division of Air Quality,840540090011,840540090011
40.42735,-80.59253,2026-01-29T02:00,PM2.5,UG/M3,9.4,8.2,52,2,WEIRTON,West Virginia Division of Air Quality,540290009,840540290009
40.4447,-80.42,2026-01-29T02:00,PM2.5,UG/M3,8.9,8.4,49,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.4447,-80.42,2026-01-29T02:00,OZONE,PPB,34.0,34.0,31,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.269,-80.244,2026-01-29T02:00,PM2.5,UG/M3,9.4,9.6,52,2,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.269,-80.244,2026-01-29T02:00,OZONE,PPB,34.0,35.0,31,1,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.381901,-80.1856,2026-01-29T02:00,PM2.5,UG/M3,9.2,10.0,51,2,South Fayette,Allegheny County,420030067,840420030067
40.381901,-80.1856,2026-01-29T02:00,OZONE,PPB,39.0,39.0,36,1,South Fayette,Allegheny County,420030067,840420030067
40.499789,-80.071347,2026-01-29T02:00,PM2.5,UG/M3,10.2,10.3,53,2,Avalon,Allegheny County,840420030002,840420030002
40.4656,-79.9611,2026-01-29T02:00,PM2.5,UG/M3,10.0,10.8,53,2,Lawrenceville,Allegheny County,420030008,840420030008
40.4656,-79.9611,2026-01-29T02:00,OZONE,PPB,23.0,25.0,21,1,Lawrenceville,Allegheny County,420030008,840420030008
