Latitude,Longitude,UTC,Parameter,Unit,Value,RawConcentration,AQI,Category,SiteName,AgencyName,FullAQSCode,IntlAQSCode
40.366452,-80.615691,2026-01-30T14:00,PM2.5,UG/M3,16.6,19.2,65,2,Steubenville,Ohio EPA-DAPC,390810017,840390810017
40.39458,-80.61202,2026-01-30T14:00,PM2.5,UG/M3,10.6,9.4,54,2,"MARLAND HTS, WEIRTON",West Virginia Division of Air Quality,840540090011,840540090011
40.42735,-80.59253,2026-01-30T14:00,PM2.5,UG/M3,10.5,11.5,54,2,WEIRTON,West Virginia Division of Air Quality,540290009,840540290009
40.4447,-80.42,2026-01-30T14:00,PM2.5,UG/M3,7.3,7.0,41,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.4447,-80.42,2026-01-30T14:00,OZONE,PPB,28.0,29.0,26,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.269,-80.244,2026-01-30T14:00,PM2.5,UG/M3,7.6,9.1,42,1,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.269,-80.244,2026-01-30T14:00,OZONE,PPB,28.0,-999.0,26,1,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.381901,-80.1856,2026-01-30T14:00,OZONE,PPB,37.0,38.0,34,1,South Fayette,Allegheny County,420030067,840420030067
40.381901,-80.1856,2026-01-30T14:00,PM2.5,UG/M3,4.5,4.2,25,1,South Fayette,Allegheny County,420030067,840420030067
40.499789,-80.071347,2026-01-30T14:00,PM2.5,UG/M3,10.7,11.4,54,2,Avalon,Allegheny County,840420030002,840420030002
40.4656,-79.9611,2026-01-30T14:00,PM2.5,UG/M3,8.2,9.8,46,1,Lawrenceville,Allegheny County,420030008,840420030008
40.4656,-79.9611,2026-01-30T14:00,OZONE,PPB,6.0,9.0,6,1,Lawrenceville,Allegheny County,420030008,840420030008
40.294381,-79.885303,2026-01-30T14:00,PM2.5,UG/M3,14.2,20.0,61,2,Clairton,Allegheny County,840420033007,840420033007
40.323898,-79.868301,2026-01-30T14:00,PM2.5,UG/M3,8.5,7.8,47,1,Liberty (SAHS),Allegheny County,420030064,840420030064
40.437431,-79.863572,2026-01-30T14:00,PM2.5,UG/M3,5.6,5.6,31,1,Parkway East (Near Road),Allegheny County,420031376,840420031376
40.402267,-79.860942,2026-01-30T14:00,PM2.5,UG/M3,6.1,7.3,34,1,North Braddock,Allegheny County,840420031301,840420031301
40.613864,-79.729569,2026-01-30T14:00,PM2.5,UG/M3,12.6,15.4,58,2,Harrison Township,Allegheny County,420031008,840420031008
40.613864,-79.729569,2026-01-30T14:00,OZONE,PPB,21.0,17.0,19,1,Harrison Township,Allegheny County,420031008,840420031008
40.366452,-80.615691,2026-01-30T15:00,PM2.5,UG/M3,18.5,20.4,69,2,Steubenville,Ohio EPA-DAPC,390810017,840390810017
40.39458,-80.61202,2026-01-30T15:00,PM2.5,UG/M3,8.6,6.6,48,1,"MARLAND HTS, WEIRTON",West Virginia Division of Air Quality,840540090011,840540090011
40.42735,-80.59253,2026-01-30T15:00,PM2.5,UG/M3,8.2,6.0,46,1,WEIRTON,West Virginia Division of Air Quality,540290009,840540290009
40.4447,-80.42,2026-01-30T15:00,OZONE,PPB,33.0,37.0,31,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.4447,-80.42,2026-01-30T15:00,PM2.5,UG/M3,5.2,3.1,29,1,Florence,Pennsylvania Dept. of Environmental Protection,421255001,840421255001
40.269,-80.244,2026-01-30T15:00,OZONE,PPB,33.0,38.0,31,1,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.269,-80.244,2026-01-30T15:00,PM2.5,UG/M3,5.5,3.3,31,1,Houston,Pennsylvania Dept. of Environmental Protection,421255200,840421255200
40.381901,-80.1856,2026-01-30T15:00,OZONE,PPB,38.0,40.0,35,1,South Fayette,Allegheny County,420030067,840420030067
40.381901,-80.1856,2026-01-30T15:00,PM2.5,UG/M3,4.2,4.0,23,1,South Fayette,Allegheny County,420030067,840420030067
40.499789,-80.071347,2026-01-30T15:00,PM2.5,UG/M3,10.8,11.0,54,2,Avalon,Allegheny County,840420030002,840420030002
